date,food_cos,beverage_cos,wine_cos,liquor_cos,beer_cos,total_cos
2012-04-20,835.0,0.0,0.0,0.0,0.0,835.0
2012-04-21,305.0,0.0,0.0,0.0,0.0,305.0
2012-04-22,9.0,0.0,0.0,0.0,0.0,9.0
2012-04-23,0.0,0.0,182.0,0.0,172.0,354.0
2012-04-24,1010.0,0.0,1523.0,0.0,0.0,2533.0
2012-04-25,491.0,0.0,394.0,0.0,0.0,885.0
2012-04-26,448.0,0.0,1695.0,0.0,39.0,2182.0
2012-04-27,753.0,0.0,0.0,0.0,0.0,753.0
2012-04-28,176.0,0.0,0.0,0.0,0.0,176.0
2012-04-29,427.0,6.0,0.0,0.0,0.0,433.0
2012-05-01,1304.0,0.0,725.0,0.0,0.0,2029.0
2012-05-02,2098.0,45.0,2820.0,652.0,0.0,5615.0
2012-05-03,1273.0,0.0,467.0,0.0,0.0,1740.0
2012-05-04,645.0,11.0,387.0,0.0,0.0,1043.0
2012-05-05,225.0,0.0,0.0,0.0,0.0,225.0
2012-05-06,5.0,0.0,0.0,0.0,369.0,374.0
2012-05-08,690.0,0.0,3254.0,0.0,0.0,3944.0
2012-05-09,265.0,0.0,0.0,0.0,0.0,265.0
2012-05-10,1895.0,0.0,906.0,0.0,302.0,3103.0
2012-05-11,920.0,141.0,598.0,160.0,0.0,1819.0
2012-05-12,874.0,8.0,0.0,0.0,266.0,1148.0
2012-05-13,84.0,0.0,0.0,69.0,0.0,153.0
2012-05-14,85.0,725.0,4082.0,321.0,62.0,5275.0
2012-05-15,1939.0,11.0,0.0,182.0,249.0,2381.0
2012-05-16,863.0,18.0,450.0,69.0,0.0,1400.0
2012-05-17,1238.0,30.0,511.0,0.0,0.0,1779.0
2012-05-18,738.0,10.0,0.0,0.0,0.0,748.0
2012-05-19,815.0,0.0,0.0,0.0,0.0,815.0
2012-05-22,885.0,0.0,590.0,0.0,0.0,1475.0
2012-05-23,58.0,3.0,0.0,0.0,0.0,61.0
2012-05-24,756.0,0.0,625.0,168.0,172.0,1721.0
2012-05-25,37.0,0.0,0.0,0.0,0.0,37.0
2012-05-26,51.0,31.0,0.0,0.0,0.0,82.0
2012-05-28,2121.0,7.0,428.0,177.0,402.0,3135.0
2012-05-29,568.0,0.0,0.0,0.0,0.0,568.0
2012-05-30,356.0,0.0,1247.0,0.0,209.0,1812.0
2012-05-31,929.0,90.0,1633.0,487.0,105.0,3244.0
2012-06-01,642.0,7.0,546.0,213.0,0.0,1408.0
2012-06-02,15.0,9.0,0.0,0.0,0.0,24.0
2012-06-04,1389.0,0.0,0.0,0.0,0.0,1389.0
2012-06-05,1291.0,0.0,1144.0,0.0,229.0,2664.0
2012-06-09,3932.0,0.0,2404.0,406.0,90.0,6832.0
2012-06-12,3875.0,93.0,3703.0,361.0,-40.0,7992.0
2012-06-13,22.0,0.0,363.0,0.0,0.0,385.0
2012-06-14,1825.0,46.0,218.0,71.0,172.0,2332.0
2012-06-15,0.0,0.0,173.0,0.0,0.0,173.0
2012-06-19,0.0,197.0,0.0,0.0,0.0,197.0
2012-06-20,93.0,9.0,715.0,0.0,0.0,817.0
2012-06-21,0.0,7.0,0.0,0.0,0.0,7.0
2012-06-22,0.0,8.0,0.0,0.0,0.0,8.0
2012-06-23,3071.0,15.0,6637.0,667.0,586.0,10976.0
2012-06-24,33.0,33.0,0.0,0.0,0.0,66.0
2012-06-26,25.0,82.0,-124.0,0.0,0.0,-17.0
2012-06-27,2045.0,29.0,1491.0,136.0,489.0,4190.0
2012-06-28,582.0,13.0,3072.0,182.0,0.0,3849.0
2012-06-29,1860.0,0.0,0.0,0.0,360.0,2220.0
2012-06-30,569.0,9.0,242.0,0.0,0.0,820.0
2012-07-01,0.0,3.0,0.0,0.0,0.0,3.0
2012-07-03,1743.0,0.0,1441.0,0.0,0.0,3184.0
2012-07-04,1868.0,0.0,0.0,0.0,0.0,1868.0
2012-07-05,127.0,0.0,0.0,0.0,279.0,406.0
2012-07-06,1129.0,42.0,0.0,554.0,80.0,1805.0
2012-07-07,203.0,0.0,0.0,0.0,0.0,203.0
2012-07-09,112.0,0.0,0.0,0.0,0.0,112.0
2012-07-10,238.0,0.0,0.0,0.0,0.0,238.0
2012-07-11,84.0,241.0,0.0,0.0,0.0,325.0
2012-07-12,1781.0,0.0,1307.0,0.0,395.0,3483.0
2012-07-13,1162.0,0.0,363.0,0.0,0.0,1525.0
2012-07-14,249.0,0.0,302.0,0.0,0.0,551.0
2012-07-17,1444.0,0.0,836.0,0.0,282.0,2562.0
2012-07-18,-56.0,0.0,0.0,0.0,0.0,-56.0
2012-07-19,18.0,0.0,521.0,658.0,117.0,1314.0
2012-07-20,0.0,0.0,-39.0,0.0,0.0,-39.0
2012-07-21,2834.0,0.0,450.0,0.0,0.0,3284.0
2012-07-24,630.0,0.0,0.0,0.0,353.0,983.0
2012-07-25,1159.0,0.0,2316.0,138.0,0.0,3613.0
2012-07-26,380.0,0.0,387.0,0.0,0.0,767.0
2012-07-27,1348.0,0.0,0.0,0.0,0.0,1348.0
2012-07-28,797.0,672.0,0.0,136.0,70.0,1675.0
2012-07-29,405.0,0.0,0.0,0.0,0.0,405.0
2012-07-31,58.0,0.0,1871.0,182.0,373.0,2484.0
2012-08-01,497.0,0.0,0.0,0.0,0.0,497.0
2012-08-02,1612.0,22.0,404.0,809.0,217.0,3064.0
2012-08-03,2160.0,0.0,1319.0,84.0,0.0,3563.0
2012-08-05,606.0,0.0,0.0,0.0,0.0,606.0
2012-08-09,1196.0,0.0,2046.0,558.0,0.0,3800.0
2012-08-10,472.0,15.0,0.0,0.0,0.0,487.0
2012-08-14,1505.0,0.0,330.0,0.0,450.0,2285.0
2012-08-17,2010.0,90.0,376.0,0.0,80.0,2556.0
2012-08-21,1466.0,0.0,750.0,0.0,0.0,2216.0
2012-08-22,2058.0,0.0,2612.0,637.0,0.0,5307.0
2012-08-23,131.0,0.0,734.0,0.0,0.0,865.0
2012-08-25,1260.0,0.0,0.0,0.0,0.0,1260.0
2012-08-28,341.0,0.0,0.0,0.0,0.0,341.0
2012-08-29,1304.0,94.0,1439.0,26.0,234.0,3097.0
2012-08-30,1062.0,0.0,1282.0,228.0,413.0,2985.0
2012-08-31,449.0,0.0,816.0,0.0,0.0,1265.0
2012-09-01,1009.0,0.0,0.0,86.0,0.0,1095.0
2012-09-02,5.0,0.0,0.0,0.0,0.0,5.0
2012-09-04,2764.0,0.0,314.0,0.0,273.0,3351.0
