date,food_sales,beverage_sales,wine_sales,liquor_sales,beer_sales,total_sales,date,dow
2012-07-20,9277.0,551.0,4570.0,1021.0,324.0,15743.0,2012-07-20,Fri
2012-07-21,4171.0,313.0,1566.0,180.0,189.0,6419.0,2012-07-21,Sat
2012-07-22,1818.0,94.0,627.0,93.0,95.0,2727.0,2012-07-22,Sun
2012-07-24,3854.0,180.0,1820.0,592.0,115.0,6561.0,2012-07-24,Tue
2012-07-25,2907.0,221.0,1425.0,85.0,114.0,4752.0,2012-07-25,Wed
2012-07-26,2576.0,138.0,1736.0,202.0,148.0,4800.0,2012-07-26,Thu
2012-07-27,3836.0,243.0,1454.0,392.0,169.0,6094.0,2012-07-27,Fri
2012-07-28,4310.0,213.0,1518.0,638.0,121.0,6800.0,2012-07-28,Sat
2012-07-29,2795.0,188.0,1543.0,347.0,119.0,4992.0,2012-07-29,Sun
2012-07-30,-540.0,-0.0,-0.0,-0.0,-0.0,-540.0,2012-07-30,Mon
2012-07-31,2681.0,158.0,1587.0,362.0,74.0,4862.0,2012-07-31,Tue
2012-08-01,3461.0,146.0,2221.0,364.0,67.0,6259.0,2012-08-01,Wed
2012-08-02,4766.0,140.0,2350.0,389.0,132.0,7777.0,2012-08-02,Thu
2012-08-03,3644.0,170.0,1680.0,690.0,108.0,6292.0,2012-08-03,Fri
2012-08-04,3257.0,198.0,1068.0,318.0,221.0,5062.0,2012-08-04,Sat
2012-08-05,2782.0,170.0,796.0,402.0,54.0,4204.0,2012-08-05,Sun
2012-08-08,2329.0,139.0,1105.0,164.0,95.0,3832.0,2012-08-08,Wed
2012-08-09,3092.0,150.0,1469.0,323.0,182.0,5216.0,2012-08-09,Thu
2012-08-10,7411.0,342.0,3569.0,750.0,250.0,12322.0,2012-08-10,Fri
2012-08-11,4607.0,277.0,1912.0,422.0,189.0,7407.0,2012-08-11,Sat
2012-08-12,2530.0,103.0,856.0,251.0,114.0,3854.0,2012-08-12,Sun
2012-08-14,1861.0,66.0,839.0,173.0,68.0,3007.0,2012-08-14,Tue
2012-08-15,2789.0,138.0,1574.0,506.0,202.0,5209.0,2012-08-15,Wed
2012-08-16,4244.0,184.0,2174.0,548.0,243.0,7393.0,2012-08-16,Thu
2012-08-17,5404.0,300.0,2440.0,634.0,189.0,8967.0,2012-08-17,Fri
2012-08-19,5990.0,319.0,2643.0,889.0,215.0,10056.0,2012-08-19,Sun
2012-08-21,3382.0,169.0,1491.0,191.0,27.0,5260.0,2012-08-21,Tue
2012-08-22,4226.0,218.0,2051.0,306.0,222.0,7023.0,2012-08-22,Wed
2012-08-23,3440.0,249.0,1649.0,197.0,149.0,5684.0,2012-08-23,Thu
2012-08-24,4803.0,404.0,1922.0,460.0,208.0,7797.0,2012-08-24,Fri
2012-08-25,5312.0,342.0,2547.0,481.0,140.0,8822.0,2012-08-25,Sat
2012-08-26,2983.0,132.0,1266.0,149.0,132.0,4662.0,2012-08-26,Sun
2012-08-28,3061.0,198.0,1423.0,303.0,135.0,5120.0,2012-08-28,Tue
2012-08-29,3126.0,241.0,1581.0,444.0,175.0,5567.0,2012-08-29,Wed
2012-08-30,3375.0,278.0,2119.0,376.0,61.0,6209.0,2012-08-30,Thu
2012-08-31,5449.0,335.0,2626.0,953.0,343.0,9706.0,2012-08-31,Fri
2012-09-01,4356.0,333.0,1823.0,577.0,40.0,7129.0,2012-09-01,Sat
2012-09-02,5515.0,262.0,2231.0,511.0,290.0,8809.0,2012-09-02,Sun
2012-09-04,1954.0,92.0,912.0,194.0,14.0,3166.0,2012-09-04,Tue
2012-09-05,1862.0,114.0,973.0,153.0,100.0,3202.0,2012-09-05,Wed
2012-09-06,3401.0,213.0,1668.0,289.0,148.0,5719.0,2012-09-06,Thu
2012-09-07,4680.0,281.0,2450.0,359.0,229.0,7999.0,2012-09-07,Fri
2012-09-08,6444.0,421.0,3144.0,379.0,256.0,10644.0,2012-09-08,Sat
2012-09-09,4930.0,296.0,1448.0,186.0,222.0,7082.0,2012-09-09,Sun
2012-09-10,-0.0,-0.0,-0.0,-0.0,15.0,15.0,2012-09-10,Mon
2012-09-11,2849.0,156.0,1522.0,163.0,115.0,4805.0,2012-09-11,Tue
